Common Name,Scientific Name,num_papers,Group
Yellow Lampmussel,Lampsilis cariosa,0,Clams
Wavy-rayed Lampmussel,Lampsilis fasciola,0,Clams
Loggerhead Shrike Eastern subspecies,Lanius ludovicianus ssp.,1,Birds
Sable Island Sweat Bee,Lasioglossum sablense,0,Insects
Rayless Goldfields,Lasthenia glaberrima,0,Flowering Plants
Silky Beach Pea,Lathyrus littoralis,0,Flowering Plants
Impoverished Pinweed,Lechea intermedia var. depauperata,0,Flowering Plants
Beach Pinweed,Lechea maritima,0,Flowering Plants
Sagebrush Vole,Lemmiscus curtatus,0,Mammals
Spotted Gar,Lepisosteus oculatus,0,Fishes
Redbreast Sunfish,Lepomis auritus,0,Fishes
Green Sunfish,Lepomis cyanellus,0,Fishes
Warmouth,Lepomis gulosus,0,Fishes
Orangespotted Sunfish,Lepomis humilis,0,Fishes
Northern Sunfish,Lepomis peltastes,0,Fishes
Batwing Vinyl Lichen,Leptogium platynum,0,Lichens
Peacock Vinyl Lichen,Leptogium polycarpum,0,Lichens
Flooded Jellyskin,Leptogium rivulare,0,Lichens
Slender Bush-clover,Lespedeza virginica,0,Flowering Plants
Alaskan Brook Lamprey,Lethenteron alaskense,0,Fishes
Winter Skate,Leucoraja ocellata,0,Fishes
Tweedy's Lewisia,Lewisiopsis tweedyi,0,Flowering Plants
Dense Blazing Star,Liatris spicata,0,Flowering Plants
Eastern Pondmussel,Ligumia nasuta,0,Clams
Eastern Lilaeopsis,Lilaeopsis chinensis,0,Flowering Plants
Weidemeyer's Admiral,Limenitis weidemeyerii,0,Insects
Macoun's Meadowfoam,Limnanthes macounii,0,Flowering Plants
Hudsonian Godwit,Limosa haemastica,0,Birds
Purple Twayblade,Liparis liliifolia,0,Flowering Plants
Small-flowered Lipocarpha,Lipocarpha micrantha,0,Flowering Plants
Northern Right Whale Dolphin,Lissodelphis borealis,0,Mammals
Northern Leopard Frog,Lithobates pipiens,2,Amphibians
Smoker’s Lung Lichen,Lobaria retigera,0,Lichens
Gray's Desert-parsley,Lomatium grayi,0,Flowering Plants
Goldencrest,Lophiola aurea,0,Flowering Plants
Eelgrass Limpet,Lottia alveus alveus,0,Snails
Seaside Birds-foot Lotus,Lotus formosissimus,0,Flowering Plants
Bog Bird’s-foot Trefoil,Lotus pinnatus,0,Flowering Plants
Red Crossbill percna subspecies,Loxia curvirostra percna,0,Birds
Dense-flowered Lupine,Lupinus densiflorus,0,Flowering Plants
Prairie Lupine,Lupinus lepidus,0,Flowering Plants
Oregon Lupine,Lupinus oreganus,0,Flowering Plants
Streambank Lupine,Lupinus rivularis,0,Flowering Plants
Striped Shiner,Luxilus chrysocephalus,0,Fishes
Canada Lynx,Lynx canadensis,4,Mammals
Squat Duskysnail,Lyogyrus granum,0,Snails
Redfin Shiner,Lythrurus umbratilis,0,Fishes
Silver Chub,Macrhybopsis storeriana,0,Fishes
